DATE,PS_LEVEL,PS_INNOV,PS_VWF
19730330,-0.03072104,-0.01248871,-0.01271889
19730430,-0.04066723,-0.01036976,0.02308621
19730531,-0.11566841,-0.06428793,-0.00263267
19730629,-0.19991624,-0.16341187,-0.03231649
19730731,-0.09645608,-0.00793291,0.0024503
19730831,-0.09587619,-0.02273373,0.01594605
19730928,-0.12252505,-0.00159801,0.01702629
19731031,-0.0534264,0.02651743,-0.04308556
19731130,-0.30129471,-0.2369703,-0.0265017
19731231,-0.13417844,-0.08141436,-0.01684214
19740131,-0.16222605,-0.06483696,0.10501732
19740228,-0.12002965,-0.05278647,0.03898203
19740329,-0.00128674,0.11622695,0.04593273
19740430,-0.04192205,0.0039807,0.02365498
19740531,-0.10176169,-0.08414107,0.06008724
19740628,-0.06937052,-0.06450758,-0.01077655
19740731,-0.2311552,-0.1355462,-0.00473158
19740830,-0.1018596,-0.06119805,-0.0286962
19740930,-0.11031084,-0.06431142,0.02436165
19741031,-0.08565812,0.0074002,-0.07885913
19741129,-0.08357406,0.03591119,-0.01939789
19741231,-0.10467737,-0.04026986,0.02044962
19750131,-0.11363574,-0.07541073,0.10931904
19750228,-0.07571976,0.01913135,0.03681417
19750331,-0.13072553,0.00775645,0.06133465
19750430,0.00011554,0.03705778,0.00304909
19750530,-0.06664547,-0.01086984,-0.0335239
19750630,0.02342978,0.02449123,-0.01712027
19750731,-0.05962827,-0.02729299,-0.0100334
19750829,-0.12755813,-0.12157617,-0.00935562
19750930,-0.08967738,-0.0525665,-0.01912464
19751031,-0.06497047,0.02664365,0.0914145
19751128,0.00741821,0.0293836,0.03657854
19751231,-0.02442703,-0.02056652,-0.00278971
19760130,-0.06028539,-0.0349632,0.01755052
19760227,-0.01851747,0.05141846,-0.04261414
19760331,-0.01856841,0.00976739,-0.01655556
19760430,-0.03032626,-0.05010934,-0.01947486
19760528,-0.09013826,-0.08883218,-0.04169475
19760630,-0.06495678,-0.02335863,-0.00622104
19760730,-0.09141464,-0.05279316,-0.02753544
19760831,-0.01521286,0.03221601,0.01783943
19760930,-0.03775866,0.01864557,-0.01533322
19761029,-0.08525116,-0.04391357,0.00439052
19761130,-0.08195338,-0.02089528,-0.02341377
19761231,-0.02604134,0.05655522,-0.01257718
19770131,-0.06248959,-0.04378443,-0.03166971
19770228,-0.00043282,0.03593835,-0.01070304
19770331,-0.05630659,0.03272064,0.01101828
19770429,-0.01072317,-0.00892983,-0.02974709
19770531,-0.03333326,-0.01412855,0.01779268
19770630,-0.00864762,0.01677368,0.02016478
19770729,-0.04816555,-0.01344706,0.00128995
19770831,-0.04412126,0.00536833,0.03100207
19770930,-0.04748593,-0.02101677,0.01193968
19771031,-0.0326037,-0.001546,-0.01119019
19771130,-0.01279556,0.02884947,0.00399474
19771230,0.02084733,0.03573574,-0.0054509
19780131,-0.04221977,-0.00635585,0.00508788
19780228,-0.01929822,0.01306556,-0.00163238
19780331,-0.0104943,0.00370974,0.01606017
19780428,-0.007804,0.01894151,0.03510105
19780531,0.01785113,0.02178268,0.01199666
19780630,0.01073454,0.01328841,0.00832972
19780731,-0.04349239,-0.03624969,0.02702278
19780831,0.02096537,0.03667227,-0.00125175
19780929,-0.00570324,-0.01137272,-0.02623282
19781031,-0.10826536,-0.10256108,0.04366079
19781130,-0.07491862,-0.03116592,-0.03527567
19781229,-0.03424374,0.03792161,0.00444546
19790131,-0.01440923,0.02596159,-0.00844953
19790228,-0.03296828,0.00781397,-0.02939003
19790330,-0.04378829,0.0220271,-0.00595439
19790430,0.0047974,0.05620286,0.01636578
19790531,-0.08100678,-0.04576691,-0.02231998
19790629,-0.01188146,0.0236379,-0.01714101
19790731,0.02264722,0.06219424,-0.01656231
19790831,0.0130375,0.03645029,0.01428603
19790928,-0.07425767,-0.06366482,-0.0136648
19791031,-0.15445929,-0.10374397,0.00036923
19791130,-0.03882917,0.00945318,-0.06913824
19791231,-0.00918056,0.0269922,-0.01489211
19800131,-0.05958447,-0.01908929,0.00037706
19800229,-0.09784091,-0.0420383,0.01884286
19800331,-0.14193797,-0.08521432,0.03095903
19800430,-0.05117316,-0.02817094,-0.01062641
19800530,0.03284126,0.08025314,-0.00865562
19800630,-0.01566887,0.00314694,0.00990093
19800731,-0.03519602,-0.01717759,-0.00932557
19800829,0.00723605,0.05313563,0.01100259
19800930,-0.04758864,-0.01654131,0.01349643
19801031,-0.01238945,0.03535957,0.02686571
19801128,-0.02423516,0.00411772,0.0264028
19801231,-0.05639978,-0.01312544,0.02837046
19810130,-0.02295704,0.00471735,0.03945397
19810227,-0.00759491,0.00146002,0.000233
19810331,-0.02136722,0.01356804,0.01688705
19810430,-0.02811204,0.01067712,-0.01462031
19810529,0.00737643,0.02938781,-0.02394087
19810630,0.00168512,0.03098125,0.05817124
19810731,-0.01763558,0.01105357,-0.01421857
